127.0.0.1, 2018-07-05 12:31:35, GET, /admin/static/_2.15.2/images/search.png, HTTP/1.1, 200, 0.000442
127.0.0.1, 2018-07-05 12:31:35, GET, /admin/static/_2.15.2/images/test_icon.png, HTTP/1.1, 200, 0.001263
127.0.0.1, 2018-07-05 12:31:35, GET, /admin/static/_2.15.2/images/delete_icon.png, HTTP/1.1, 200, 0.001848
127.0.0.1, 2018-07-05 12:31:35, GET, /admin/static/_2.15.2/images/help.png, HTTP/1.1, 200, 0.001568
127.0.0.1, 2018-07-05 12:36:15, GET, /Fitters/default/index, HTTP/1.1, 200, 0.019853
127.0.0.1, 2018-07-05 12:36:15, GET, /Fitters/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.000741
127.0.0.1, 2018-07-05 12:36:15, GET, /Fitters/static/css/web2py-bootstrap3.css, HTTP/1.1, 200, 0.000504
127.0.0.1, 2018-07-05 12:36:15, GET, /Fitters/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.001113
127.0.0.1, 2018-07-05 12:36:15, GET, /Fitters/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.001601
127.0.0.1, 2018-07-05 12:36:15, GET, /Fitters/static/js/jquery.js, HTTP/1.1, 200, 0.002481
127.0.0.1, 2018-07-05 12:36:15, GET, /Fitters/static/js/web2py.js, HTTP/1.1, 200, 0.002050
127.0.0.1, 2018-07-05 12:36:15, GET, /Fitters/static/css/calendar.css, HTTP/1.1, 200, 0.003606
127.0.0.1, 2018-07-05 12:36:15, GET, /Fitters/static/js/share.js, HTTP/1.1, 200, 0.002659
127.0.0.1, 2018-07-05 12:36:15, GET, /Fitters/static/js/calendar.js, HTTP/1.1, 200, 0.003687
127.0.0.1, 2018-07-05 12:36:15, GET, /Fitters/static/js/web2py-bootstrap3.js, HTTP/1.1, 200, 0.001308
127.0.0.1, 2018-07-05 12:36:16, GET, /Fitters/static/images/favicon.png, HTTP/1.1, 200, 0.000510
127.0.0.1, 2018-07-05 12:36:16, GET, /Fitters/static/images/background.jpg, HTTP/1.1, 304, 0.000523
127.0.0.1, 2018-07-05 12:36:16, GET, /Fitters/static/images/twitter.png, HTTP/1.1, 200, 0.000686
127.0.0.1, 2018-07-05 12:36:16, GET, /Fitters/static/images/gplus-32.png, HTTP/1.1, 200, 0.000860
127.0.0.1, 2018-07-05 12:36:16, GET, /Fitters/static/images/facebook.png, HTTP/1.1, 200, 0.001157
127.0.0.1, 2018-07-05 12:37:10, GET, /Fitters/default/index, HTTP/1.1, 200, 0.027017
127.0.0.1, 2018-07-05 12:37:10, GET, /Fitters/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.000821
127.0.0.1, 2018-07-05 12:37:10, GET, /Fitters/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 304, 0.001867
127.0.0.1, 2018-07-05 12:37:10, GET, /Fitters/static/css/calendar.css, HTTP/1.1, 304, 0.001486
127.0.0.1, 2018-07-05 12:37:10, GET, /Fitters/static/css/web2py-bootstrap3.css, HTTP/1.1, 304, 0.003057
127.0.0.1, 2018-07-05 12:37:10, GET, /Fitters/static/js/web2py.js, HTTP/1.1, 304, 0.003337
127.0.0.1, 2018-07-05 12:37:10, GET, /Fitters/static/js/calendar.js, HTTP/1.1, 304, 0.003020
127.0.0.1, 2018-07-05 12:37:10, GET, /Fitters/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.001516
127.0.0.1, 2018-07-05 12:37:10, GET, /Fitters/static/js/web2py-bootstrap3.js, HTTP/1.1, 304, 0.002156
127.0.0.1, 2018-07-05 12:37:10, GET, /Fitters/static/js/jquery.js, HTTP/1.1, 304, 0.005253
127.0.0.1, 2018-07-05 12:37:10, GET, /Fitters/static/js/share.js, HTTP/1.1, 304, 0.001660
127.0.0.1, 2018-07-05 12:37:10, GET, /Fitters/static/images/favicon.png, HTTP/1.1, 304, 0.000643
127.0.0.1, 2018-07-05 12:37:10, GET, /Fitters/static/images/background.jpg, HTTP/1.1, 304, 0.001726
127.0.0.1, 2018-07-05 12:37:11, GET, /Fitters/static/images/twitter.png, HTTP/1.1, 304, 0.000286
127.0.0.1, 2018-07-05 12:37:11, GET, /Fitters/static/images/gplus-32.png, HTTP/1.1, 304, 0.000496
127.0.0.1, 2018-07-05 12:37:11, GET, /Fitters/static/images/facebook.png, HTTP/1.1, 304, 0.001082
127.0.0.1, 2018-07-05 12:37:13, GET, /Fitters/default/men, HTTP/1.1, 200, 0.046304
127.0.0.1, 2018-07-05 12:37:15, GET, /Fitters/default/women, HTTP/1.1, 200, 0.066776
127.0.0.1, 2018-07-05 12:37:16, GET, /Fitters/default/mini, HTTP/1.1, 200, 0.072805
127.0.0.1, 2018-07-05 12:37:17, GET, /Fitters/default/unstitched, HTTP/1.1, 200, 0.052169
127.0.0.1, 2018-07-05 12:37:17, GET, /Fitters/default/accessories, HTTP/1.1, 200, 0.034474
127.0.0.1, 2018-07-05 12:37:18, GET, /Fitters/default/business, HTTP/1.1, 200, 0.032182
127.0.0.1, 2018-07-05 12:37:20, GET, /Fitters/default/overseas, HTTP/1.1, 200, 0.055915
127.0.0.1, 2018-07-05 12:37:21, GET, /Fitters/default/prices, HTTP/1.1, 200, 0.039308
127.0.0.1, 2018-07-05 12:37:22, GET, /Fitters/default/quickorder, HTTP/1.1, 200, 0.053570
127.0.0.1, 2018-07-05 12:38:50, GET, /Fitters/default/quickorder, HTTP/1.1, 200, 0.048149
127.0.0.1, 2018-07-05 12:38:50, GET, /Fitters/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.000556
127.0.0.1, 2018-07-05 12:38:50, GET, /Fitters/static/css/web2py-bootstrap3.css, HTTP/1.1, 304, 0.000655
127.0.0.1, 2018-07-05 12:38:50, GET, /Fitters/static/js/web2py.js, HTTP/1.1, 304, 0.000653
127.0.0.1, 2018-07-05 12:38:50, GET, /Fitters/static/js/jquery.js, HTTP/1.1, 304, 0.000490
127.0.0.1, 2018-07-05 12:38:50, GET, /Fitters/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 304, 0.001688
127.0.0.1, 2018-07-05 12:38:50, GET, /Fitters/static/css/calendar.css, HTTP/1.1, 304, 0.000635
127.0.0.1, 2018-07-05 12:38:50, GET, /Fitters/static/js/calendar.js, HTTP/1.1, 304, 0.000606
127.0.0.1, 2018-07-05 12:38:50, GET, /Fitters/static/js/web2py-bootstrap3.js, HTTP/1.1, 304, 0.000615
127.0.0.1, 2018-07-05 12:38:50, GET, /Fitters/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.001191
